Datum,Uhrzeit,Ort,Text
25.05.2024,19.30,Dom St. Marien,Eröffnungskonzert der Internationalen Orgelkonzerte mit Silvius von Kessel und Benedikt Kristjánsson
08.06.2024,19.30,Dom St. Marien,Internationales Orgelkonzert
22.06.2024,19.30,Dom St. Marien,Internationales Orgelkonzert mit Juan de la Rubia (Barcelona)
29.06.2024,19.30,Dom St. Marien,Internationales Orgelkonzert mit Jennifer Chou (Melbourne)
04.07.2024,19.30,Dom St. Marien,Prüfungs-Orgelkonzert (Eszter Szedmàk)
06.07.2024,19.30,Dom St. Marien,Internationales Orgelkonzert
11.07.2024,19.30,Dom St. Marien,Prüfungs-Orgelkonzert (Luka Posavec)
13.07.2024,19.30,Dom St. Marien,Internationales Orgelkonzert
10.08.2024,19.30,Cruciskirche,Orgelkonzert an historischer Barockorgel
17.08.2024,19.30,Cruciskirche,Orgelkonzert an historischer Barockorgel
24.08.2024,19.30,Cruciskirche,Orgelkonzert an historischer Barockorgel
17.09.2024,19.30,Dom St. Marien,Konzert im Rahmen der Erfurter Kirchenmusiktage: Gregorianischer Choral und Orgel
21.09.2024,19.30,Dom St. Marien,Abschlußkonzert der Erfurter Kirchenmusiktage: Anton Bruckner / Messe d-moll
05.10.2024,19.30,Dom St. Marien,Orgelkonzert: Hans-Ola Ericsson / Olivier Messiaen: Livre du Saint Sacrement
19.10.2024,19.30,Cruciskirche,Studenten-Orgelkonzert (HfM Weimar) in der Cruciskirche und im Dom (Jonas Dippon)
07.12.2024,17,Dom St. Marien,Adventliche Orgelmusik I
14.12.2024,17,Dom St. Marien,Adventliche Orgelmusik II
28.03.2024,23,Dom St. Marien,"Ölbergstunden, Abschluss gestaltet durch das Ensemble Vocale Erfurt"
24.02.2024,18,Cruciskirche,Hl. Messe mit dem Ensemble Vocale Erfurt
07.01.2024,16,Dom St. Marien,Konzert A-Chor
