Datum,Uhrzeit,Ort,Text
07.01.2024,16,Dom St. Marien,Konzert Kinder- und Jugendchor (A)
11.02.2024,11,Dom St. Marien,Lateinisches Hochamt mit der Domschola
24.02.2024,18,Cruciskirche,Hl. Messe mit dem Ensemble Vocale Erfurt
25.02.2024,11,Dom St. Marien,Hochamt zum 2. Fastensonntag mit dem Domchor
03.03.2024,11,Dom St. Marien,Hochamt mit dem Kinder- und Jugendchor (A)
10.03.2024,11,Dom St. Marien,Lateinisches Hochamt mit der Domschola
22.03.2024,18,St. Wigbert,Lange Nacht der Hausmusik mit dem Ökum. Holzgebläse
24.03.2024,11,Dom St. Marien,Hochamt zu Palmsonntag mit dem Kinder- und Jugendchor (A+B) und Schola
28.03.2024,23,Dom St. Marien,"Ölbergstunden, Abschluss gestaltet durch das Ensemble Vocale Erfurt"
28.03.2024,19.30,St. Severi,Liturgie vom Letzten Abendmahl mit dem Domchor
29.03.2024,15,Dom St. Marien,Karfreitagsliturgie mit der Domschola
30.03.2024,21.30,Dom St. Marien,Feier der Osternacht mit dem Domchor
13.04.2024,22,Dom St. Marien,Nachtkonzert: Vox Luminis & Caroline Shaw
13.04.2024,18,Ev. Kirche / Gräfenroda,Vesper mit dem Ökum. Holzgebläse
14.04.2024,11,Dom St. Marien,Hochamt mit dem Kinder- und Jugendchor (A)
28.04.2024,11,Dom St. Marien,Lateinisches Hochamt mit der Domschola
01.05.2024,19,Dom St. Marien,Eröffnung der Maiandachten mit dem Domchor
18.05.2024,11,Dom St. Marien,Hl. Messe und Priesterweihe mit dem Kinder- und Jugendchor (A)
25.05.2024,19.30,Dom St. Marien,Eröffnungskonzert der Internationalen Orgelkonzerte mit Silvius von Kessel und Benedikt Kristjánsson
26.05.2024,11,Dom St. Marien,Lateinisches Hochamt mit der Domschola
29.05.2024,0,Kaufmannskirche,Begegnungsabend zum Katholikentag mit dem Ökum. Holzgebläse
31.05.2024,18.30,Predigerkirche,Friedensgebet mit dem Kinder- und Jugendchor und dem Jugendkathedralchor Berlin
02.06.2024,10,Domstufen,Abschlussgottesdienst zum Katholikentag mit dem Kinder- und Jugendchor (A)
08.06.2024,19.30,Dom St. Marien,Internationales Orgelkonzert
15.06.2024,17,??,"Konzert mit dem Domchor (Mozart, Krönungsmesse)"
16.06.2024,11,Dom St. Marien,"Hochamt mit dem Kinder- und Jugendchor (A), anschl. Schuljahresabschluss im Kreuzgang"
16.06.2024,16,"Dom, Coelicum",Singspiel der Nachwuchschöre am Dom (B+C)
22.06.2024,19.30,Dom St. Marien,Internationales Orgelkonzert mit Juan de la Rubia (Barcelona)
29.06.2024,19.30,Dom St. Marien,Internationales Orgelkonzert mit Jennifer Chou (Melbourne)
30.06.2024,11,Dom St. Marien,Lateinisches Hochamt mit der Domschola
04.07.2024,19.30,Dom St. Marien,Prüfungs-Orgelkonzert (Eszter Szedmàk)
06.07.2024,19.30,Dom St. Marien,Internationales Orgelkonzert
11.07.2024,19.30,Dom St. Marien,Prüfungs-Orgelkonzert (Luka Posavec)
13.07.2024,19.30,Dom St. Marien,Internationales Orgelkonzert
10.08.2024,19.30,Cruciskirche,Orgelkonzert an historischer Barockorgel
17.08.2024,19.30,Cruciskirche,Orgelkonzert an historischer Barockorgel
24.08.2024,19.30,Cruciskirche,Orgelkonzert an historischer Barockorgel
25.08.2024,0,??,Hl. Messe mit dem Ökum. Holzgebläse
01.09.2024,11,Dom St. Marien,Lateinisches Hochamt mit der Domschola
17.09.2024,19.30,Dom St. Marien,Konzert im Rahmen der Erfurter Kirchenmusiktage: Gregorianischer Choral und Orgel
21.09.2024,19.30,Dom St. Marien,Abschlußkonzert der Erfurter Kirchenmusiktage: Anton Bruckner / Messe d-moll
05.10.2024,19.30,Dom St. Marien,Orgelkonzert: Hans-Ola Ericsson / Olivier Messiaen: Livre du Saint Sacrement
19.10.2024,19.30,Cruciskirche,Studenten-Orgelkonzert (HfM Weimar) in der Cruciskirche und im Dom (Jonas Dippon)
20.10.2024,11,Dom St. Marien,Lateinisches Hochamt mit der Domschola
27.10.2024,11,Dom St. Marien,Kirchweihfest mit dem Domchor
17.11.2024,11,Dom St. Marien,Lateinisches Hochamt mit der Domschola
19.11.2024,18,Dom St. Marien,Messe zum Fest der Hl. Elisabeth mit dem Domchor
24.11.2024,11,Dom St. Marien,Hochamt zu Christkönig mit dem Kinder- und Jugendchor (A)
01.12.2024,11,Dom St. Marien,Hochamt zum 1. Advent mit dem Kinder- und Jugendchor (A+B)
08.12.2024,11,Dom St. Marien,Hochamt zum 2. Advent mit dem Domchor
08.12.2024,10.30,St. Wigbert,Hl. Messe mit dem Ökum. Holzgebläse
07.12.2024,17,Dom St. Marien,Adventliche Orgelmusik I
14.12.2024,17,Dom St. Marien,Adventliche Orgelmusik II
15.12.2024,11,Dom St. Marien,Lateinisches Hochamt mit der Domschola
15.12.2024,15,DRK Senioren- und Pflegeheim,"Adventsmusik mit dem Ökum. Holzgebläse (Adresse: Arnstädter Straße 48, Erfurt)"
22.12.2024,11,Dom St. Marien,Hochamt zum 4. Advent mit dem Kinder- und Jugendchor (A)
24.12.2024,13,Brunnenkirche,Weihnachtsandacht der Caritas Erfurt mit dem Ökum. Holzgebläse
24.12.2024,22,St. Severi,Christmette mit Solisten und Trompete
24.12.2024,23.30,Dom St. Marien,Nächtliches Weihnachtslob mit der Regler-Posaunenschar
25.12.2024,11,Dom St. Marien,Pontifikalamt mit dem Domchor
